ico_name,ticker,platform,token,country,hardcap,softcap,raised,ih_hardcap,ih_softcap,ih_raised,bounty_status,facebook_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating,date_ended
Kitchan Network,,N/A,N/A,N/A,N/A,N/A,N/A,3600000,300000,N/A,1,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-07
We Bet Crypto,WBC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-30
ETH888 ICO,VAN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-30
PiplCoin,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,"Sep, 2017"
Veritaseum,VERI,N/A,N/A,N/A,N/A,N/A,64808823511721471485,N/A,N/A,100,-,5,5,-,-,N/A,Benchy,1.0,N/A,1.0,1.0,-,-,-,1.6,2017-05-26
CryptoHive,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-11
PornToken ICO,PTWO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-14
OACCOIN ICO,OAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-30
Puffcoin Token Sale,WEEB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-06
MIPS Token Sale,MIPS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-20
MOVIECREDITS (EMVC),,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-15
Shitcoin,SHIT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-12-19
Fuck Token ICO,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,3,3,-,1,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-07-28
EthereumMovieVenture,EMV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-05-15
BITPARK,BITPARK,N/A,N/A,Japan,N/A,N/A,N/A,N/A,N/A,100,1,2,2,-,-,5,N/A,N/A,1,N/A,N/A,-,-,-,N/A,2017-10-20
VI Coin,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-30
RxSmartCoffee ICO,,Waves,Utility,USA,N/A,N/A,N/A,N/A,N/A,100,-,1,1,-,-,1,N/A,N/A,6,N/A,N/A,N/A,N/A,-,N/A,2017-11-06
Kasorrga,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-12-31
Crypto Grip Initiative,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-14
Tlind,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Nov, 2017"
Bitpaid,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,"Dec, 2017"
Energolabs,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-08-15
Balance Initial Crowd Offering,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-30
Digital Assets Power Play,DPP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-,3,3,-,1,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-09-26
VouchCoin,,Ethereum,ERC-20,Philippines,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,2,N/A,N/A,1,N/A,N/A,N/A,3.7,-,N/A,2017-10-21
Eggs Datacenter,EGS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-10-15
Titus Coin ICO,TTS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-19
[NSFW] FAPcoin,FAP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,"Nov, 2017"
BitRootZ,BRZ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-12-05
RouletteToken,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-04-10
s3entigrapH,GRAPH,Waves,"
150 Graph",UK,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,1,N/A,N/A,1,N/A,N/A,1.3,N/A,1.2,N/A,2017-09-13
BETNetwork,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-30
SWAP,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,"Oct, 2017"
CoinsOpen,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-12-20
Halo Platform,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,-,1,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-10-16
WINBOT,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Dec, 2017"
SQTOKEN,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Nov, 2017"
Initial Coin Offering Token ICO,ICOT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-06
ZuveX,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-10-24
lltoken,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,1,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-10-26
lltoken,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,1,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-10-26
MilitaryPay,MTP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-12-12
Good Karma,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,"Jun, 2017"
Dollarydoos,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-08
Dragon Exchange,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Nov, 2017"
Bitcasts,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Oct, 2017"
Kolion,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-,2,2,5,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-05-01
Satan Coin ICO,SATANCOIN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-12-25
EtherBB,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.1,-,N/A,2017-12-04
ALLOWANCE NETWORK,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-08-05
WU-TANG COIN,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-10-31
HODL Bucks,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,1,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-09-10
Worthless Ethereum Token,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-08-22
Cyder Coin,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-08-28
KabutoCoin,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-07-22
SIKKA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-07-14
GoCoin,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-12-23
Phoenix,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-08-31
IWW Exchange,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-10-01
LIFECREDIT,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-30
Vitalik Token,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-22
OREN PLATFORM,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,5,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-30
METANIKA,TBA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-01
OPTION TOKEN,,Ethereum,ERC-20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,1,7,N/A,N/A,1,N/A,N/A,N/A,N/A,-,N/A,2017-09-04
Truckcoin GH ICO,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-12-31
CATHER,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-10-28
Red Ticket,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-07
Spacium,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-10
Crypto Apartments,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-10-30
TorrentChain,,Tron,Utility,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,10,N/A,N/A,1,N/A,N/A,N/A,N/A,-,N/A,2017-09-09
Blunner,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-12-25
Venge,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,"Nov, 2017"
SHOUCAIR,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-09
SUPERIOR COIN,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-12-31
PETSAFE,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-10-30
bEther Token,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-08-31
C1ph3r,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-10-30
Anna,ANNA,N/A,N/A,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,1,1,1,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,1.3,3.8,1.0,1.3,2017-12-01
Moeda (MLO) ICO,MDA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,3,N/A,N/A,N/A,N/A,N/A,N/A,1.8,N/A,1.8,N/A,2017-08-28
7ype,7YPE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,1.3,3.0,1.4,N/A,2017-08-27
BITBOUNCE / CREDO,CREDO,Ethereum,ERC20,USA,15465704,N/A,113307073121610000000,N/A,N/A,100,-,4,4,-,-,10,Benchy,N/A,1,N/A,N/A,2.4,6.3,2.4,2.4,2017-08-25
Olympus Labs (MOT),,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,-,-,-,2,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,"Nov, 2017"
Olympus Labs (MOT),,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,-,-,-,2,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,"Nov, 2017"
KICKICO,KC,N/A,N/A,N/A,N/A,N/A,N/A,20000000,7000000,11,4,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-09-16
MicroMoney,AMM,N/A,N/A,N/A,30000000,1000000,10500000,N/A,3000000000,45,5,-,-,-,2,N/A,Benchy,4.1,N/A,3.7,4.0,-,-,-,3.7,2017-11-18
jboxcoin,JBOXCOIN,Ethereum,ERC20,USA,N/A,N/A,Unknown,N/A,N/A,N/A,-,5,5,-,5,10,Benchy,5.0,9,5.0,5.0,-,-,-,2.5,2017-12-08
WorldCore,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10000000000,26,5,4,4,-,2,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-12-15
SISA,SISA,Ethereum,ERC20,India,N/A,N/A,Unknown,N/A,N/A,N/A,5,2,2,-,-,6,Benchy,3.0,6.9,4.0,4.0,-,-,-,3.0,2017-12-20
Binary.com ICO,BINARY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Cap
10 000 000.00 BINARY",N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.6,7.4,2.7,N/A,2017-12-24
Procommerce,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-,3,3,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-02-26
Game.com ICO,GTC,N/A,N/A,N/A,N/A,N/A,N/A,10000000,10000000,0,-,-,-,-,2,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-11-30
AlpenCoin,ALPENCOIN,Ethereum,ERC-20,N/A,N/A,N/A,N/A,4900000,10000,1,2,1,1,-,-,5,N/A,N/A,10,N/A,N/A,N/A,N/A,3.6,N/A,2017-09-11
Litra Coin,LTA,Litecoin,"
29,999,997 LTA (30%)",Switzerland,29999997,N/A,23500000,N/A,N/A,N/A,5,1,1,-,-,5,Benchy,N/A,1,N/A,N/A,2.8,4.9,2.9,2.8,2017-09-30
Vacuum,VAC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.7,4.8,2.8,N/A,2017-10-24
Stayawhile,STAY,Ethereum,ERC20,USA,N/A,N/A,N/A,100000,50000,N/A,-,1,1,-,-,1,N/A,N/A,10,N/A,N/A,2.9,5.3,-,N/A,2017-12-11
ZEMPA,ZEMPA,Waves,ERC20,Ukraine,4750000,N/A,Unknown,N/A,475000000,N/A,3,1,1,-,-,2,Benchy,N/A,8,N/A,N/A,2.6,5.2,2.9,2.6,2017-11-30
Power Group,POWER,N/A,N/A,N/A,12500,N/A,Unknown,1250000,500000,N/A,5,2,2,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,2.4,4.6,-,2.4,2017-12-01
Authorship ICO,ATS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-09-14
StockBlock,XMC,Ethereum,ERC20,India,68750,25000,Unknown,6875000,2500000,N/A,3,2,2,-,-,6,Benchy,N/A,1,N/A,N/A,2.6,5.4,2.0,2.6,2017-11-25
ICO Reveal,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.6,N/A,2017-08-26
AML Bitcoin ICO,ATK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,4,4,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-12-15
Daseron,DSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,-,1,N/A,N/A,N/A,N/A,N/A,N/A,2.2,6.7,1.9,N/A,2017-09-14
Cryptobank,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-01
The puff puff network,WEEB,N/A,N/A,N/A,N/A,N/A,N/A,18400,"
75.00 ",0,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.2,N/A,2017-08-31
HARBOR,HBR,Ethereum,ERC20,Singapore,N/A,N/A,Unknown,N/A,150000,N/A,-,1,1,-,-,1,Benchy,N/A,10,N/A,N/A,3.0,5.5,-,3.0,2017-11-13
Moirai,MOI,N/A,N/A,N/A,N/A,N/A,N/A,450000000,100000000,N/A,5,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-12-30
Air platform,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-06-30
CRAZYBET,CBET,Ethereum,ERC20,Latvia,7000,1000,2595076,N/A,N/A,N/A,-,2,2,-,-,5,Benchy,N/A,1,N/A,N/A,2.1,4.6,1.8,2.1,2017-07-25
Pixiu,PIXIU,N/A,N/A,N/A,N/A,N/A,N/A,7000000,500000,0,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.4,4.4,-,N/A,2017-11-10
AnonHotels,PRIV,N/A,N/A,Poland,357000,100000,Unknown,35700000,10000000,N/A,-,2,2,-,-,5,Benchy,2.5,5,2.2,3.4,2.5,4.8,2.3,2.5,2017-12-06
Tithecoin,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-03-31
Kencoin,KCN,Ethereum,"
600,000,000 KCN",Switzerland,N/A,N/A,Unknown,N/A,N/A,100,-,-,-,-,-,8,Benchy,N/A,10,N/A,N/A,-,-,-,2.4,2017-09-11
IcoBid,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,5,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.0,N/A,2017-01-10
Ziber,ZBR,N/A,N/A,N/A,N/A,N/A,N/A,5000000,500000,0,5,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,1.6,2.4,3.0,N/A,2017-08-01
VirtuTV,VRTU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.1,4.8,2.3,N/A,2017-09-09
PlexCoin,PLX,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Cap
400 000 000.00 PLX",N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.1,N/A,-,N/A,2017-11-30
Crowd Crypto Fund,CCFC,N/A,N/A,N/A,N/A,N/A,Unknown,N/A,N/A,N/A,-,-,-,-,-,N/A,Benchy,2.0,N/A,2.4,2.6,2.1,2.1,2.1,2.1,2017-12-31
MaskNetwork,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,2,2,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-06-30
Abab DAO,AAA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Cap
290 000 000.00 AAA",N/A,2,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,1.8,3.3,2.2,N/A,2017-10-15
REcoin,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,102400000,292,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.2,N/A,2017-10-09
StayAllied,,Ethereum,ERC20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,2,Benchy,N/A,1,N/A,N/A,1.8,2.8,-,1.8,2017-12-31
WesterosToken,TOKEN WST,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-25
SwishCoin,TM-SWISHCOIN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A,2017-01-14
CryptoSlots,SPIN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-19
SPARK COIN,,N/A,N/A,N/A,N/A,N/A,10560000,N/A,N/A,N/A,2,-,-,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,1.3,1.8,1.9,1.3,2017-12-31
Ascendancy,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-03-10
Consolo,CSL,Ethereum,ERC20,Russia,975000000,N/A,Unknown,N/A,4000000,N/A,-,1,1,-,-,1,Benchy,N/A,1,N/A,N/A,1.8,3.0,1.5,1.8,2017-12-25
FoxCasino ICO,FXN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.2,2.7,2.3,N/A,2017-12-31
BTCsearch,BTCSEARCH,N/A,N/A,Russia,N/A,N/A,Unknown,N/A,"Cap
1 000 000.00 TOKENS",N/A,2,1,1,-,-,1,Benchy,2.0,1,2.0,2.0,1.7,2.1,1.7,1.7,2017-12-31
Protostarr,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-10
TribeToken,TRIBE,Ethereum,"
160,000,000 TRIBE",Netherlands,N/A,N/A,N/A,N/A,N/A,N/A,5,-,-,-,1,5,N/A,N/A,1,N/A,N/A,1.7,4.2,2.0,N/A,2017-08-14
Solvena,SLN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-08-20
BOCC,BOCC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,1.4,N/A,-,N/A,2017-12-15
SqPay,ITO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9000000000,0,5,-,-,-,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-11-02
EnKo,NAME: ENKO (PEACH-EMOJI),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,1,1,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-09-28
Quantopia,CM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Cap
31 415 926.00 CM",N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A,2017-10-19
