ico_name,ticker,platform,token,country,hardcap,softcap,raised,bounty_status,activy_status,twitter_status,bitcointalk_status,telegram_status,social_rating,profile_rating,team_rating_ib,team_rating_im,product_rating,vision_rating,icobench_rating,icomarks_rating,icobazaar_rating,aggregate_rating
ADAB SOLUTIONS,ADAB,N/A,N/A,N/A,18700000 USD,2500000 USD,7251100 USD,250000000,1870000000,13%,LOW,MEDIUM,MEDIUM,LOW,VERY LOW,N/A,Benchy,4.2,N/A,4.0,4.3,-,-,-,4.2
UniFox,,UniFox,FST20,United Arab Emirates,N/A,N/A,N/A,N/A,250000000,8%,MEDIUM,HIGH,HIGH,-,MEDIUM,9,N/A,N/A,10,N/A,N/A,3.2,9.3,-,N/A
Luckchemy,LUK,Ethereum,ERC-20,UK,N/A,N/A,N/A,N/A,4536000,0%,-,HIGH,HIGH,-,-,8,N/A,N/A,10,N/A,N/A,2.6,7.7,-,N/A
UniFox,,UniFox,FST20,United Arab Emirates,N/A,N/A,N/A,N/A,250000000,8%,MEDIUM,HIGH,HIGH,-,MEDIUM,9,N/A,N/A,10,N/A,N/A,3.2,9.3,-,N/A
DUCATUR,DUCAT,Ethereum,ERC20,Estonia,15700 ETH,1270 ETH,6098288 USD,1570000,127000,14%,-,HIGH,HIGH,-,VERY LOW,10,Benchy,4.2,10,4.0,4.8,3.6,9.8,-,3.6
PATRON / パトロン,,N/A,N/A,N/A,N/A,N/A,N/A,7000000000,4000000000,100%,MEDIUM,-,-,-,LOW,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
Paymon,PMNT,N/A,N/A,N/A,3000000 USD,500000 USD,1092514 USD,N/A,N/A,100%,HIGH,HIGH,HIGH,-,LOW,N/A,Benchy,4.4,N/A,4.2,4.4,-,-,-,4.3
Tip Blockchain,TIP,N/A,N/A,N/A,46450 ETH,N/A,352400 USD,520000000,520000000,N/A,VERY HIGH,MEDIUM,MEDIUM,-,LOW,N/A,Benchy,4.0,N/A,4.0,4.0,3.9,8.8,-,3.9
SKYFchain,SKYFT,Ethereum,ERC20,Estonia,30000000 USD,5000000 USD,6200000 USD,500000000,200000000,20%,VERY HIGH,MEDIUM,MEDIUM,-,-,9,Benchy,4.7,10,4.5,4.6,-,-,-,4.6
BCharity - International Charity Exchange,CHAR,N/A,N/A,N/A,35000000 USD,5000000 USD,Unknown,500000000,3500000000,N/A,-,-,-,-,-,N/A,Benchy,3.7,N/A,3.6,4.3,3.7,9.0,-,3.7
TheFund.io,TFIO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HIGH,MEDIUM,MEDIUM,HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,3.8,9.4,-,N/A
Konios Project,KON,N/A,N/A,N/A,29000000 USD,N/A,3050000739376712900000000 ETH,2900000000,2900000000,0%,-,VERY HIGH,VERY HIGH,-,-,N/A,Benchy,4.0,N/A,4.0,4.0,-,-,-,2.8
Velix.ID,VXD,N/A,N/A,N/A,23800000 USD,2500000 USD,2500000 USD,N/A,2380000000,9%,VERY HIGH,MEDIUM,MEDIUM,-,-,N/A,Benchy,4.3,N/A,4.1,4.5,-,-,-,4.2
TraDove,BBC,Ethereum,ERC20,USA,N/A,N/A,N/A,N/A,5200000000,63%,VERY HIGH,VERY HIGH,VERY HIGH,-,MEDIUM,8,N/A,N/A,9.6,N/A,N/A,-,-,-,N/A
Enlte (ENLTE),ENLTE,N/A,N/A,N/A,N/A,N/A,N/A,2000000000,1600000000,43%,VERY HIGH,HIGH,HIGH,-,-,N/A,N/A,N/A,N/A,N/A,N/A,4.4,7.4,4.7,N/A
Jibbit,JIB,Ethereum,ERC20,Germany,3000000 USD,1000000 USD,920000 USD,350000000,350000000,N/A,LOW,LOW,LOW,-,-,8,Benchy,4.7,9,3.9,3.9,4.1,8.7,-,4.1
Project Shivom,OMX,N/A,N/A,N/A,35000000 USD,15000 ETH,35000000 USD,N/A,3500000000,100%,HIGH,VERY HIGH,VERY HIGH,-,MEDIUM,N/A,Benchy,4.1,N/A,3.6,4.3,-,-,-,3.8
Nafen,NFN,Ethereum,ERC20,Estonia,14,000,000 EUR,2,500,000 EUR,N/A,1708000000,305000000,17%,-,-,-,-,-,7,Benchy,4.4,10,4.2,4.3,4.2,8.4,-,4.2
idap.io,IDAP,N/A,N/A,N/A,N/A,N/A,70000400000000 USD,1000000000,200000000,N/A,HIGH,-,-,-,-,N/A,Benchy,4.0,N/A,3.2,4.0,3.6,9.1,-,3.6
EOT,EOT,Ethereum,ERC20,Singapore,N/A,N/A,N/A,1200000000,400000000,N/A,MEDIUM,HIGH,HIGH,-,LOW,9,N/A,N/A,10,N/A,N/A,4.3,9.3,-,N/A
Efir,,Ethereum,ERC20,Russia,15000 ETH,1250 ETH,317668 USD,1500000,1500000,8%,VERY HIGH,HIGH,HIGH,-,-,9,Benchy,N/A,10,N/A,N/A,3.9,9.1,2.4,3.9
L-pesa,LPK,Ethereum,ERC20,Gibraltar,52000000 USD,50000 USD,7961200 USD,N/A,5200000000,40%,VERY HIGH,-,-,-,MEDIUM,8,Benchy,4.1,10,3.7,4.3,-,-,-,3.7
FTEC,FTEC,Ethereum,ERC20,UK,26500 ETH,2000 ETH,995000 USD,N/A,2650000,7%,VERY HIGH,VERY HIGH,VERY HIGH,-,-,10,Benchy,4.6,10,4.5,4.8,-,-,-,4.5
Datablockchain,DBCCOIN,Ethereum,ERC20,Cayman Islands,50000000 USD,10000000 USD,Unknown,N/A,N/A,N/A,MEDIUM,VERY LOW,VERY LOW,-,VERY LOW,10,Benchy,4.7,10,4.6,4.7,4.6,9.6,-,4.6
Mozo,MOZO,Ethereum,ERC-20,Singapore,N/A,N/A,N/A,N/A,4600000000,80%,-,LOW,LOW,-,MEDIUM,8,N/A,N/A,10,N/A,N/A,-,-,-,N/A
Datablockchain,DBCCOIN,Ethereum,ERC20,Cayman Islands,50000000 USD,10000000 USD,Unknown,N/A,N/A,N/A,MEDIUM,VERY LOW,VERY LOW,-,VERY LOW,10,Benchy,4.7,10,4.6,4.7,4.6,9.6,-,4.6
Ubex (UBEX),UBEX,N/A,N/A,N/A,N/A,N/A,N/A,2880000,400000,93%,LOW,VERY HIGH,VERY HIGH,-,HIGH,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
Blockonomics (ICO has been paused),BCK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,MEDIUM,MEDIUM,-,LOW,N/A,N/A,N/A,N/A,N/A,N/A,3.4,8.4,-,N/A
ELIGMA,ELI,N/A,N/A,N/A,24000000 USD,3000000 USD,11377277 USD,2400000000,2400000000,46%,-,HIGH,HIGH,-,MEDIUM,N/A,Benchy,4.5,N/A,4.2,4.6,-,-,-,4.4
WizeBit - Private Block Token Sale,WIZE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100%,-,HIGH,HIGH,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.7,8.3,-,N/A
Online,OIO,N/A,N/A,N/A,50000000 USD,5000000 USD,50000000 USD,N/A,N/A,100%,VERY HIGH,-,-,-,MEDIUM,N/A,Benchy,4.4,N/A,4.0,4.3,-,-,-,4.2
Õpet Foundation,,N/A,N/A,N/A,60000 ETH,10000 ETH,1385000 USD,N/A,6000000,0%,-,-,-,-,MEDIUM,N/A,Benchy,4.3,N/A,4.3,3.5,4.0,9.6,-,4.0
Miner Edge,MET,N/A,N/A,N/A,32000000 USD,1000000 USD,6208000 USD,N/A,N/A,100%,-,-,-,-,-,N/A,Benchy,1.0,N/A,1.0,1.0,1.9,9.6,-,1.9
mCoin ICO,MCN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.5,N/A,-,N/A
TraXion,TXN,Ethereum,ERC20,Philippines,50000000 USD,N/A,N/A,N/A,10000000,1%,VERY HIGH,VERY LOW,VERY LOW,-,-,10,Benchy,4.6,9,4.3,4.5,-,-,-,4.3
DEEP AERO,DRONE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,4.2,9.0,-,N/A
mCoin ICO,MCN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.5,N/A,-,N/A
Etheal,HEAL,Ethereum,ERC20,Estonia,10000000 USD,4800000 USD,820000 USD,1000000000,480000000,20%,HIGH,HIGH,HIGH,-,LOW,8,Benchy,4.4,10,4.0,4.3,-,-,-,4.2
AMICORUM.LIVE,AMI TOKEN,N/A,N/A,N/A,20000000 USD,3000000 USD,N/A,300000000,500000000,60%,MEDIUM,HIGH,HIGH,-,LOW,N/A,Benchy,4.0,N/A,5.0,4.0,2.8,9.1,-,2.8
Cryptoindex,CIX100,Ethereum,Utility,Malta,37000000 USD,3000000 USD,11037891 USD,3700000000,300000000,26%,-,MEDIUM,MEDIUM,-,MEDIUM,8,Benchy,3.8,10,3.7,4.1,-,-,-,3.9
Foresting HQ,PTON,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,VERY LOW,VERY LOW,-,MEDIUM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
Globatalent ICO,,N/A,N/A,N/A,N/A,N/A,N/A,3500000000,500000000,N/A,VERY HIGH,HIGH,HIGH,-,LOW,N/A,N/A,N/A,N/A,N/A,N/A,3.7,8.3,-,N/A
EVE Coin,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10000000000,N/A,LOW,LOW,LOW,VERY LOW,MEDIUM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,N/A
BitRewards,BIT,N/A,N/A,N/A,15000000 USD,3000000 USD,6583400 USD,500000000,300000000,64%,HIGH,VERY LOW,VERY LOW,-,MEDIUM,N/A,Benchy,4.5,N/A,4.4,4.2,-,-,-,4.3
ODEM,ODEM,Ethereum,ERC20,Switzerland,180,000,000,N/A,4000000 USD,N/A,N/A,100%,VERY HIGH,HIGH,HIGH,-,LOW,8,Benchy,3.3,10,3.3,3.7,-,-,-,3.3
NextPakk,PAKKA,Stellar,Stellar,USA,52800000 USD,1000000 USD,N/A,N/A,N/A,N/A,LOW,-,-,-,MEDIUM,10,Benchy,4.6,10,4.4,4.6,4.4,9.6,-,4.4
Typerium,TYPE,N/A,N/A,N/A,40000000 USD,4500000 USD,500000 USD,N/A,N/A,N/A,LOW,VERY HIGH,VERY HIGH,-,VERY HIGH,N/A,Benchy,N/A,N/A,N/A,N/A,-,-,-,3.7
Arbitao,ATAO,ATAO,ATAO,UK,N/A,N/A,N/A,N/A,N/A,N/A,-,LOW,LOW,-,-,6,Benchy,1.0,10,1.0,1.0,2.1,6.9,-,2.1
Midex,MDX,Ethereum,ERC20,Estonia,75,000,000,N/A,22000000 USD,N/A,N/A,100%,HIGH,LOW,LOW,-,-,8,Benchy,4.8,5,4.5,4.6,4.5,7.1,4.4,4.5
Jinbi,JNB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100%,VERY HIGH,MEDIUM,MEDIUM,-,VERY LOW,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
WAR FIELD,GLDR,N/A,N/A,N/A,12000000 USD,3000000 USD,12000000 USD,N/A,N/A,100%,-,-,-,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.7,9.1,-,3.7
eCoinomic ICO,CNC,N/A,N/A,N/A,N/A,N/A,N/A,600000000,10600000000,40%,MEDIUM,HIGH,HIGH,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
EQUI,EQUITOKEN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100%,VERY HIGH,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.7,6.3,-,N/A
Cryptosolartech,CST,N/A,N/A,N/A,71,400,000 EUR,983,733 EUR,68280620 USD,98373300,7198373300,95%,VERY HIGH,HIGH,HIGH,-,-,N/A,Benchy,5.0,N/A,5.0,4.0,-,-,-,3.4
HOMELEND,HMD,Ethereum,ERC20,Switzerland,30000000 USD,5000000 USD,N/A,500000000,3000000000,80%,VERY HIGH,LOW,LOW,-,-,6,Benchy,4.9,9,4.4,4.7,4.1,7.7,-,4.1
AVINOC,AVINOC,N/A,N/A,N/A,15000000 USD,8000000 USD,Unknown,N/A,N/A,N/A,VERY LOW,VERY HIGH,VERY HIGH,VERY LOW,HIGH,N/A,Benchy,3.7,N/A,3.4,3.8,-,-,-,3.7
WAR FIELD,GLDR,N/A,N/A,N/A,12000000 USD,3000000 USD,12000000 USD,N/A,N/A,100%,-,-,-,-,-,N/A,Benchy,N/A,N/A,N/A,N/A,3.7,9.1,-,3.7
TokenStars TEAM,TEAM,N/A,N/A,N/A,N/A,N/A,N/A,1500000000,500000000,98%,VERY HIGH,MEDIUM,MEDIUM,-,LOW,N/A,N/A,N/A,N/A,N/A,N/A,2.9,N/A,4.2,N/A
Sharpay,SHRP,Ethereum,ERC20,Belize,45000 ETH,3000000 USD,5973900 USD,N/A,N/A,100%,VERY HIGH,MEDIUM,MEDIUM,-,-,8,Benchy,4.6,10,4.5,4.7,-,-,-,4.6
Omnitude,ECOM,N/A,N/A,N/A,15700000 USD,10000000 USD,8000000 USD,500000000,1000000000,80%,LOW,HIGH,HIGH,-,MEDIUM,N/A,Benchy,4.5,N/A,4.2,4.4,-,-,-,4.3
CGCX,CGX,Ethereum,ERC20,Singapore,1,000,000,000,5000000 USD,8809328 USD,N/A,500000000,373%,VERY HIGH,VERY HIGH,VERY HIGH,-,MEDIUM,10,Benchy,N/A,10,N/A,N/A,-,-,-,4.0
Treon,TXO,Ethereum,ERC20,Estonia,25000000 USD,4000000 USD,1137000 USD,N/A,N/A,100%,VERY HIGH,VERY HIGH,VERY HIGH,-,-,10,Benchy,3.2,10,3.2,2.7,3.5,9.8,-,3.5
CubeChain,QUB,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.7,6.1,-,N/A
CoinJanitor,JAN,Ethereum,ERC20,Cyprus,7500000 USD,N/A,2500000 USD,N/A,750000000,33%,HIGH,LOW,LOW,-,LOW,7,Benchy,4.6,4,4.4,5.0,-,-,-,4.3
Multiversum,MTV,Ethereum,ERC20,Belarus,35000000 USD,5000000 USD,21403270 USD,6500000000,3500000000,62%,HIGH,HIGH,HIGH,-,-,10,Benchy,3.6,10,3.4,3.5,3.6,9.8,4.4,3.6
CoinJanitor,JAN,Ethereum,ERC20,Cyprus,7500000 USD,N/A,2500000 USD,N/A,750000000,33%,HIGH,LOW,LOW,-,LOW,7,Benchy,4.6,4,4.4,5.0,-,-,-,4.3
Tradelize,TDZ,Ethereum,ERC20,Georgia,30000000 USD,N/A,Unknown,N/A,N/A,N/A,HIGH,-,-,-,LOW,7,Benchy,4.5,10,4.3,4.7,4.4,8.1,-,4.4
n'cloud.swiss,NCU,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6537000000,N/A,LOW,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,2.9,7.4,-,N/A
Payportal,,Ethereum,ERC20,India,24000 ETH,3000 ETH,Unknown,960000000,960000000,N/A,VERY HIGH,LOW,LOW,-,VERY LOW,8,Benchy,N/A,10,N/A,N/A,3.3,8.8,-,3.3
DECOIN,,Ethereum,ERC20,Ukraine,40080 ETH,N/A,Unknown,N/A,N/A,100%,VERY HIGH,-,-,-,VERY HIGH,1,Benchy,3.4,9,2.4,3.0,4.1,9.3,-,2.5
Cosplay Token ICO,COT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500000,N/A,VERY HIGH,VERY LOW,VERY LOW,-,MEDIUM,N/A,N/A,N/A,N/A,N/A,N/A,2.9,9.3,-,N/A
Safein,SFN,Ethereum,ERC20,Lithuania,21000000 USD,3000000 USD,N/A,2100000000,300000000,N/A,VERY HIGH,-,-,-,LOW,9,Benchy,3.4,10,3.7,3.9,3.7,9.3,4.5,3.7
AirPod ICO,APOD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,MEDIUM,MEDIUM,-,LOW,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
Verasity,,N/A,N/A,N/A,25000000 USD,4000000 USD,4000000 USD,N/A,1250000000,374%,VERY HIGH,VERY HIGH,VERY HIGH,-,LOW,N/A,Benchy,4.6,N/A,4.1,4.1,-,-,-,4.3
CargoCoin,CRGO,Ethereum,ERC223/ERC20,UK,N/A,N/A,N/A,1000000000,500000000,24%,HIGH,LOW,LOW,-,LOW,9,N/A,N/A,10,N/A,N/A,4.0,9.0,-,N/A
EtherInc,ETI,N/A,N/A,N/A,22000000 USD,1000000 USD,Unknown,N/A,N/A,N/A,VERY HIGH,HIGH,HIGH,-,MEDIUM,N/A,Benchy,4.3,N/A,4.0,4.8,-,-,-,4.3
LendsBay,LBT,Ethereum,ERC20,Russia,1500000 USD,250000 USD,Unknown,150000000,50000000,26%,-,HIGH,HIGH,-,LOW,8,Benchy,2.8,10,2.7,3.2,3.4,9.1,-,3.4
Humancoin,HUMA,Ethereum,ERC20,UK,26000000 USD,6000000 USD,6607055 USD,N/A,100000000,85%,VERY HIGH,-,-,-,VERY LOW,9,Benchy,4.6,10,4.4,4.7,4.5,9.3,-,4.5
Wemark,WMK,Ethereum,ERC20,Israel,16750 ETH,3250 ETH,Unknown,675000,325000,48%,MEDIUM,MEDIUM,MEDIUM,-,LOW,9,Benchy,4.4,10,3.7,3.8,4.7,N/A,4.6,4.0
EVO,ETALON,N/A,N/A,N/A,8500000 USD,4000000 USD,Unknown,400000000,850000000,N/A,-,-,-,-,MEDIUM,N/A,Benchy,5.0,N/A,4.7,4.9,4.4,8.9,-,4.4
FlipNpik,FNP,Ethereum,ERC20,France,20,000,000 EUR,N/A,Unknown,N/A,N/A,100%,VERY HIGH,HIGH,HIGH,-,LOW,8,Benchy,4.5,10,4.5,4.4,4.2,8.6,-,4.2
Centive,XTV,Ethereum,ERC20,British Virgin Islands,35000000 USD,N/A,Unknown,3500000000,3500000000,N/A,VERY HIGH,VERY LOW,VERY LOW,VERY LOW,-,10,Benchy,2.6,10,2.8,2.7,3.0,9.5,-,3.0
DreamTeam,DREAM,N/A,N/A,N/A,21000000 USD,2000000 USD,10106035 USD,N/A,1500000000,67%,-,MEDIUM,MEDIUM,-,-,N/A,Benchy,4.4,N/A,3.9,3.9,-,-,-,4.0
Kleros,PNK,Ethereum,ERC20,France,N/A,N/A,2501733 USD,N/A,N/A,100%,-,VERY HIGH,VERY HIGH,-,HIGH,9,Benchy,2.0,10,1.0,2.0,-,-,-,3.1
BitImage,BIM,Ethereum,ERC20,Seychelles,42000 ETH,2000 ETH,Unknown,N/A,N/A,N/A,VERY HIGH,LOW,LOW,-,LOW,9,Benchy,5.0,10,3.0,4.0,3.5,9.5,-,3.5
DNAtix,,Ethereum,ERC20,Israel,45000000 USD,1000000 USD,Unknown,N/A,N/A,N/A,-,LOW,LOW,-,VERY LOW,8,Benchy,4.5,9,5.0,5.0,4.0,8.1,-,4.0
Bitdepositary ICO,BDT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HIGH,-,-,HIGH,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,N/A
XTRIBE,XRBT,Ethereum,ERC20,Switzerland,25000000 USD,1000000 USD,Unknown,1250000000,1250000000,N/A,-,-,-,-,MEDIUM,10,Benchy,2.3,1,3.1,2.8,3.1,7.2,-,3.1
UNIC Advertising Network,UNIC,N/A,N/A,N/A,37000 ETH,N/A,Unknown,N/A,N/A,N/A,-,HIGH,HIGH,-,LOW,N/A,Benchy,4.4,N/A,4.4,4.7,3.5,7.4,4.7,3.5
Birdchain,BIRD,Ethereum,ERC20,Estonia,10500 ETH,1500 ETH,1534291 USD,1050000,150000,16%,LOW,HIGH,HIGH,-,VERY HIGH,10,Benchy,4.4,10,3.7,4.5,-,-,-,4.1
FLUX ICO,FLUX,N/A,N/A,N/A,N/A,N/A,N/A,2000000000,150000000,24%,VERY HIGH,LOW,LOW,-,-,N/A,N/A,N/A,N/A,N/A,N/A,4.0,8.2,-,N/A
UNIC Advertising Network,UNIC,N/A,N/A,N/A,37000 ETH,N/A,Unknown,N/A,N/A,N/A,-,HIGH,HIGH,-,LOW,N/A,Benchy,4.4,N/A,4.4,4.7,3.5,7.4,4.7,3.5
IAME Identity,IAM,N/A,N/A,N/A,1,000,000,250,000,N/A,100000000,1500000000,N/A,VERY HIGH,MEDIUM,MEDIUM,-,VERY LOW,N/A,Benchy,4.1,N/A,4.5,4.4,-,-,-,4.0
Inmediate,DIT,Zilliqa,ERC20,Singapore,16000000 USD,4000000 USD,5000000 USD,N/A,N/A,N/A,LOW,MEDIUM,MEDIUM,-,-,8,Benchy,5.0,10,4.0,5.0,-,-,-,4.1
Spokkz,SPOKKZ,Ethereum,ERC20,Singapore,12000000 USD,5000000 USD,N/A,N/A,N/A,N/A,-,MEDIUM,MEDIUM,-,LOW,10,Benchy,4.4,10,4.2,3.8,4.0,9.1,-,4.0
Nordcoin,NRDC,Ethereum,ERC20,Estonia,N/A,N/A,N/A,N/A,1096500000,N/A,MEDIUM,-,-,-,LOW,8,N/A,N/A,10,N/A,N/A,3.8,8.3,-,N/A
CryptoRevolution,CREV,Ethereum,ERC20,Malta,N/A,N/A,Unknown,N/A,N/A,N/A,-,LOW,LOW,MEDIUM,-,8,Benchy,2.0,10,2.0,4.0,3.7,7.7,-,3.7
StopTheFakes,STF,Ethereum,ERC20,Czech Republic,8500000 USD,675000 USD,400000 USD,85000000,850000000,27%,VERY HIGH,LOW,LOW,-,VERY LOW,8,Benchy,4.0,10,3.8,4.2,4.0,9.1,-,4.0
Skychain,SKCH,N/A,N/A,N/A,12,000,000,10,000,000,9815000 USD,N/A,1000000000,764%,MEDIUM,MEDIUM,MEDIUM,-,LOW,N/A,Benchy,4.2,N/A,3.9,4.4,-,-,-,4.1
JSEcoin,JSE,N/A,N/A,N/A,10,000,000,000,N/A,111500 USD,3000000000,200000000,60%,-,MEDIUM,MEDIUM,-,LOW,N/A,Benchy,4.0,N/A,3.5,4.4,-,-,-,4.0
WatermelonBlock,WMB,NEM,NEM, ERC20,Singapore,8000000 USD,3500000 USD,3500000 USD,1900000000,850000000,79%,-,MEDIUM,MEDIUM,-,LOW,8,Benchy,4.3,10,3.4,4.4,-,-,-,4.0
Parkade,PRKC,N/A,N/A,N/A,120000000 USD,3000000 USD,Unknown,N/A,N/A,N/A,-,MEDIUM,MEDIUM,-,LOW,N/A,Benchy,N/A,N/A,N/A,N/A,2.7,8.5,-,2.7
Medicalchain,MEDTOKEN,Ethereum,ERC20,UK,N/A,N/A,24000000 USD,N/A,2400000000,100%,-,VERY HIGH,VERY HIGH,-,MEDIUM,8,Benchy,4.3,7.3,4.0,4.4,4.2,7.9,4.2,4.2
YourBlock (PreICO),YBK,N/A,N/A,N/A,N/A,N/A,N/A,1500000000,200000000,N/A,VERY HIGH,VERY HIGH,VERY HIGH,-,-,N/A,N/A,N/A,N/A,N/A,N/A,3.8,8.4,4.2,N/A
ImmVRse,IMV,Ethereum,ERC20,UK,10000 ETH,N/A,Unknown,N/A,N/A,N/A,VERY HIGH,HIGH,HIGH,-,LOW,9,Benchy,4.5,9,4.5,4.5,-,-,-,4.3
Fishcoin,,N/A,N/A,N/A,40000 ETH,N/A,Unknown,N/A,N/A,N/A,VERY HIGH,VERY HIGH,VERY HIGH,-,VERY LOW,8,Benchy,N/A,10,N/A,N/A,3.8,6.2,-,3.8
Daox,DXC,Ethereum,ERC20,United Arab Emirates,20000 ETH,3000 ETH,Unknown,2000000,300000,59%,MEDIUM,VERY HIGH,VERY HIGH,MEDIUM,MEDIUM,10,Benchy,4.5,10,3.8,4.3,-,-,-,4.2
BRAVO Pay,BVO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VERY HIGH,VERY HIGH,VERY HIGH,-,-,N/A,N/A,N/A,N/A,N/A,N/A,4.2,9.0,4.1,N/A
PLENTIX,REFER,Ethereum,ERC20,Australia,24000000 USD,3000000 USD,N/A,2420000000,2100000600,N/A,MEDIUM,-,-,-,LOW,9,Benchy,4.5,10,4.1,4.3,4.1,9.1,-,4.1
Photochain,PHT,Ethereum,ERC20,Estonia,180,000,000,165,723,285,Unknown,N/A,2160000000,23%,VERY HIGH,MEDIUM,MEDIUM,-,MEDIUM,10,Benchy,4.7,10,4.1,4.4,4.3,9.6,-,4.3
Rise Housing,RSE,N/A,N/A,N/A,40000 ETH,20000 ETH,Unknown,N/A,N/A,N/A,LOW,VERY LOW,VERY LOW,-,VERY LOW,N/A,Benchy,N/A,N/A,N/A,N/A,2.9,7.2,-,2.9
Elysian,ELY,N/A,N/A,N/A,7000000 USD,3000000 USD,7000000 USD,N/A,N/A,100%,MEDIUM,MEDIUM,MEDIUM,-,VERY LOW,N/A,Benchy,4.6,N/A,4.2,4.5,-,-,-,4.3
